iter	Accuracy
0	0.8036912752
1	0.8506711409
2	0.8540268456
3	0.8590604027
4	0.8590604027
5	0.8573825503
6	0.8590604027
7	0.8624161074
8	0.8791946309
9	0.8791946309
10	0.8859060403
11	0.8875838926
12	0.8959731544
13	0.9026845638
14	0.9144295302
15	0.9127516779
16	0.9177852349
17	0.9194630872
18	0.9194630872
19	0.927852349
20	0.927852349
21	0.932885906
22	0.9211409396
23	0.9244966443
24	0.927852349
25	0.9244966443
26	0.9295302013
27	0.9345637584
28	0.9362416107
29	0.9395973154
30	0.9496644295
31	0.9513422819
32	0.9597315436
33	0.9580536913
34	0.9630872483
35	0.9681208054
36	0.9697986577
37	0.9681208054
38	0.9630872483
39	0.9647651007
40	0.9647651007
41	0.966442953
42	0.9681208054
43	0.9697986577
44	0.9681208054
45	0.9714765101
46	0.9714765101
47	0.9714765101
48	0.9748322148
49	0.9714765101
50	0.9731543624
51	0.9798657718
52	0.9815436242
53	0.9815436242
54	0.9765100671
55	0.9781879195
56	0.9798657718
57	0.9815436242
58	0.9815436242
59	0.9815436242
60	0.9815436242
61	0.9815436242
62	0.9832214765
63	0.9815436242
64	0.9815436242
65	0.9815436242
66	0.9832214765
67	0.9848993289
68	0.9848993289
69	0.9815436242
70	0.9848993289
71	0.9848993289
72	0.9865771812
73	0.9832214765
74	0.9865771812
75	0.9865771812
76	0.9848993289
77	0.9899328859
78	0.9916107383
79	0.9882550336
80	0.9882550336
81	0.9899328859
82	0.9899328859
83	0.9899328859
84	0.9916107383
85	0.9916107383
86	0.9899328859
87	0.9899328859
88	0.9899328859
89	0.9899328859
90	0.9899328859
91	0.9916107383
92	0.9916107383
93	0.9932885906
94	0.9932885906
95	0.9932885906
96	0.9899328859
97	0.9899328859
98	0.9916107383
99	0.9916107383
100	0.9932885906
101	0.9916107383
102	0.9916107383
103	0.9916107383
104	0.9932885906
105	0.9932885906
106	0.9932885906
107	0.9932885906
108	0.9932885906
109	0.9932885906
110	0.9932885906
111	0.9932885906
112	0.9932885906
113	0.9932885906
114	0.9932885906
115	0.9932885906
116	0.9932885906
117	0.9932885906
118	0.9932885906
119	0.9932885906
120	0.994966443
121	0.994966443
122	0.994966443
123	0.994966443
124	0.994966443
125	0.9932885906
126	0.9932885906
127	0.9932885906
128	0.9932885906
129	0.9932885906
130	0.9932885906
131	0.9932885906
132	0.9932885906
133	0.9966442953
134	0.994966443
135	0.994966443
136	0.994966443
137	0.9966442953
138	0.9966442953
139	0.9966442953
140	0.994966443
141	0.994966443
142	0.994966443
143	0.994966443
144	0.994966443
145	0.9966442953
146	0.994966443
147	0.9966442953
148	0.9966442953
149	0.9966442953
150	0.9966442953
151	0.9983221477
152	0.9983221477
153	0.9983221477
154	0.9983221477
155	0.9983221477
156	1
157	1
158	1
159	1
160	1
161	0.9983221477
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
